Rank,Manufacturer,Model,Form factor,Smartphone?,Year,Million Units
1,Nokia,1100,Bar,No,2003,250
2,Nokia,1110,Bar,No,2005,247.5
3,Apple,iPhone 6 and iPhone 6 Plus,Touchscreen,Yes,2014,224
4,Nokia,"105 (2013), 105 (2015)",Bar,No,2013,200
5,Apple,iPhone 6S and iPhone 6S Plus,Touchscreen,Yes,2015,174.1
6,Apple,iPhone 5S,Touchscreen,Yes,2013,164.5
7,Nokia,3210,Bar,No,1999,161
8,Apple,iPhone 7 and iPhone 7 Plus,Touchscreen,Yes,2016,159.9
9,Apple,"iPhone 11, iPhone 11 Pro and iPhone 11 Pro Max",Touchscreen,Yes,2019,159.2
10,Apple,"iPhone XR, iPhone XS and iPhone XS Max",Touchscreen,Yes,2018,151.1
11,Nokia,6600,Bar,Yes,2003,150
12,Nokia,1200,Bar,No,2007,150
13,Nokia,5230,Touchscreen,Yes,2009,150
14,Samsung,E1100,Bar,No,2009,150
15,Apple,iPhone 5,Touchscreen,Yes,2012,146.2
16,Nokia,2600 (2610/2626/2630),Bar,No,2004,135
17,Motorola,RAZR V3,Flip phone,No,2004,130
18,Nokia,1600 (1650/1661),Bar,No,2005,130
19,Nokia,3310 (3330),Bar,No,2000,126
20,Apple,iPhone 8 and iPhone 8 Plus,Touchscreen,Yes,2017,124.7
21,Apple,"Apple iPhone 12, iPhone 12 mini, iPhone 12 Pro and iPhone 12 Pro Max",Touchscreen,Yes,2020,100
22,Nokia,1208 (1209),Bar,No,2007,100
23,Nokia,1280,Bar,No,2010,100
24,Nokia,6010 (6020/6030),Bar,No,2004,75
25,Samsung,Galaxy S III and Galaxy S III Mini,Touchscreen,Yes,2012,70
26,Samsung,Galaxy S4,Touchscreen,Yes,2013,70
27,Nokia,5130 (5220/5310),Bar,No,2007,65
28,Apple,iPhone X,Touchscreen,Yes,2017,63
29,Apple,iPhone 4S,Touchscreen,Yes,2011,60
30,Motorola,StarTAC,Flip phone,No,1996,60
31,Motorola,C200,Bar,No,2003,60
32,Motorola,C139,Bar,No,2005,60
33,Samsung,Galaxy S7 and Galaxy S7 edge,Touchscreen,Yes,2016,55
34,Nokia,3100 (3120),Bar,No,2003,50
35,Nokia,6230 (6233),Bar,No,2004,50
36,Apple,iPhone 4,Touchscreen,Yes,2010,50
37,Nokia,6300,Bar,No,2006,47
38,Samsung,Galaxy S6 and Galaxy S6 edge,Touchscreen,Yes,2015,45
39,Nokia,N70 (N72/N73),Bar,Yes,2005,45
40,Samsung,Galaxy S8 and Galaxy S8+,Touchscreen,Yes,2017,41
41,Samsung,Galaxy S II,Touchscreen,Yes,2011,40
42,Samsung,"Galaxy S10, Galaxy S10+ and Galaxy S10e",Touchscreen,Yes,2019,37
43,Samsung,Galaxy S9 and Galaxy S9+,Touchscreen,Yes,2018,35.4
44,Nokia,2650,Flip phone,No,2004,35
45,Apple,iPhone 3GS,Touchscreen,Yes,2009,35
46,Huawei,"P20, P20 Pro and P20 Lite",Touchscreen,Yes,2018,32
47,Samsung,Galaxy A10,Touchscreen,Yes,2019,30.3
48,Samsung,E250,Slider,No,2006,30
49,LG,KP100,Bar,No,2008,30
50,Samsung,Galaxy Note II,Touchscreen,Yes,2012,30
51,Nokia,5200 (5300),Slider,No,2006,30
52,Xiaomi,Redmi Note 8 and Redmi Note 8 Pro,Touchscreen,Yes,2019,30
53,Apple,iPhone 12 Pro Max,Touchscreen,Yes,2020,29
54,Samsung,"Galaxy S20, Galaxy S20+ and Galaxy S20 Ultra",Touchscreen,Yes,2020,28
55,Samsung,Galaxy S,Touchscreen,Yes,2010,25
56,Samsung,Galaxy Grand Prime Plus,Touchscreen,Yes,2016,24.2
57,Samsung,Galaxy A50,Touchscreen,Yes,2019,24.2
58,Apple,iPhone SE (2nd generation),Touchscreen,Yes,2020,24.2
59,Samsung,Galaxy A51,Touchscreen,Yes,2019,23.2
60,Samsung,Galaxy A20,Touchscreen,Yes,2019,23.1
61,LG,Chocolate VX8500,Slider,No,2006,21
62,Nokia,2100,Bar,No,2003,20
63,Xiaomi,Redmi Note 7 and Redmi Note 7 Pro,Touchscreen,Yes,2019,20
64,Huawei,P30 and P30 Pro,Touchscreen,Yes,2019,20
65,Samsung,Galaxy A21s,Touchscreen,Yes,2020,19.4
66,Huawei,Mate 10 and Mate 10 Pro,Touchscreen,Yes,2017,17
67,Huawei,Mate 20 and Mate 20 Pro,Touchscreen,Yes,2018,17
68,Samsung,Galaxy A01,Touchscreen,Yes,2019,16.9
69,HTC,Thunderbolt,Touchscreen,Yes,2011,16
70,Huawei,Mate 9,Touchscreen,Yes,2016,15.8
71,Samsung,Galaxy A11,Touchscreen,Yes,2020,15.3
72,Samsung,Galaxy J2 Core,Touchscreen,Yes,2018,15.2
73,Nokia,5610 XpressMusic,Slider,No,2007,15
74,Nokia,5800 XpressMusic,Touchscreen,Yes,2008,15
75,Nokia,E71,Keyboard bar,Yes,2008,15
76,Sony Ericsson,K300 (K310),Bar,No,2004,15
77,Sony Ericsson,K750,Bar,No,2005,15
78,Sony Ericsson,W800 (W810),Bar,No,2006,15
79,Research In Motion (RIM),BlackBerry Pearl,Bar,Yes,2006,15
80,Xiaomi,Redmi Note 9 Pro,Touchscreen,Yes,2020,15
81,Samsung,"Galaxy S21, Galaxy S21+ and Galaxy S21 Ultra",Touchscreen,Yes,2021,13.5
82,Motorola,Droid Bionic,Touchscreen,Yes,2011,13
83,LG,Cookie (KP500),Touchscreen,No,2009,13
84,Huawei,Mate 30 and Mate 30 Pro,Touchscreen,Yes,2019,12
85,Samsung,Galaxy S22 Ultra,Touchscreen,Yes,2022,10.9
86,Samsung,SGH-E700,Flip phone,No,2003,10
87,Nokia,N95,Slider,Yes,2007,10
88,LG,Shine,Slider,No,2008,10
89,Samsung,Star/Tocco Lite (S5230),Touchscreen,No,2009,10
90,Samsung,Galaxy Note,Touchscreen,Yes,2011,10
91,Xiaomi,Mi 2,Touchscreen,Yes,2012,10
92,Samsung,Galaxy Note 3,Touchscreen,Yes,2013,10
93,LG,G3,Touchscreen,Yes,2014,10
94,Samsung,Galaxy Note 8,Touchscreen,Yes,2017,10
95,Xiaomi,Redmi 6A,Touchscreen,Yes,2019,10
96,Samsung,Galaxy S20 FE,Touchscreen,Yes,2020,10
97,Oppo,A5,Touchscreen,Yes,2019,9.7
98,Samsung,Galaxy Note 9,Touchscreen,Yes,2018,9.6
99,Samsung,Galaxy A30,Touchscreen,Yes,2019,9.2
100,Xiaomi,Redmi 8A,Touchscreen,Yes,2019,7.3
