Rank,Year,Million Units
1,2003,250
2,2005,247.5
3,2014,224
4,2013,200
5,2015,174.1
6,2013,164.5
7,1999,161
8,2016,159.9
9,2019,159.2
10,2018,151.1
11,2003,150
12,2007,150
13,2009,150
14,2009,150
15,2012,146.2
16,2004,135
17,2004,130
18,2005,130
19,2000,126
20,2017,124.7
21,2020,100
22,2007,100
23,2010,100
24,2004,75
25,2012,70
26,2013,70
27,2007,65
28,2017,63
29,2011,60
30,1996,60
31,2003,60
32,2005,60
33,2016,55
34,2003,50
35,2004,50
36,2010,50
37,2006,47
38,2015,45
39,2005,45
40,2017,41
41,2011,40
42,2019,37
43,2018,35.4
44,2004,35
45,2009,35
46,2018,32
47,2019,30.3
48,2006,30
49,2008,30
50,2012,30
51,2006,30
52,2019,30
53,2020,29
54,2020,28
55,2010,25
56,2016,24.2
57,2019,24.2
58,2020,24.2
59,2019,23.2
60,2019,23.1
61,2006,21
62,2003,20
63,2019,20
64,2019,20
65,2020,19.4
66,2017,17
67,2018,17
68,2019,16.9
69,2011,16
70,2016,15.8
71,2020,15.3
72,2018,15.2
73,2007,15
74,2008,15
75,2008,15
76,2004,15
77,2005,15
78,2006,15
79,2006,15
80,2020,15
81,2021,13.5
82,2011,13
83,2009,13
84,2019,12
85,2022,10.9
86,2003,10
87,2007,10
88,2008,10
89,2009,10
90,2011,10
91,2012,10
92,2013,10
93,2014,10
94,2017,10
95,2019,10
96,2020,10
97,2019,9.7
98,2018,9.6
99,2019,9.2
100,2019,7.3
